feature,feature_group,gain,weight,cover,gain_percent,weight_percent,cover_percent
cqcc_18_mean,CQCC,1.0256861448287964,59.0,18.035465240478516,0.14647982765818748,0.40785289644684086,0.28411619747147043
chroma_12_mean,Chroma,0.9975048899650574,30.0,18.59971809387207,0.14245521898384395,0.2073828287017835,0.29300498259461766
chroma_5_std,Chroma,0.9971953630447388,13.0,138.0872344970703,0.1424110149647369,0.08986589243743952,2.1753151061834184
spectral_contrast_4_std,Spectral,0.9307505488395691,69.0,22.214916229248047,0.13292192809091732,0.476980506014102,0.34995590310781205
chroma_6_mean,Chroma,0.9216093420982361,53.0,16.648487091064453,0.13161645819175843,0.3663763307064842,0.2622668604827516
chroma_5_mean,Chroma,0.912127673625946,19.0,6.584161758422852,0.1302623664252513,0.13134245817779622,0.10372158285895922
mfcc_16_std,MFCC,0.885985255241394,61.0,10.18310260772705,0.12652892714770644,0.4216784183602931,0.16041639917753864
mfcc_18_std,MFCC,0.8743379712104797,55.0,18.299488067626953,0.12486556046762023,0.3802018526199364,0.2882754005025474
mfcc_17_std,MFCC,0.8410109877586365,50.0,53.02912139892578,0.1201060823202303,0.3456380478363058,0.8353780801451638
mfcc_12_std,MFCC,0.8076848387718201,37.0,13.360564231872559,0.1153467233440839,0.2557721553988663,0.2104715711526749
chroma_7_mean,Chroma,0.762697696685791,28.0,17.868268966674805,0.10892203987456521,0.19355730678833125,0.2814823219982781
chroma_11_std,Chroma,0.7514720559120178,9.0,12.213189125061035,0.1073188887213735,0.06221484861053505,0.1923967475717966
chroma_8_mean,Chroma,0.7463048696517944,28.0,11.983321189880371,0.10658095484492283,0.19355730678833125,0.18877559320769569
chroma_12_std,Chroma,0.7086966633796692,27.0,19.183164596557617,0.10121006863275311,0.18664454583160514,0.30219612901422876
spectral_contrast_5_std,Spectral,0.679811954498291,42.0,23.389543533325195,0.0970849986001386,0.2903359601824969,0.36846003586129067
zcr_std,ZCR,0.6780906915664673,13.0,16.688459396362305,0.09683918237372359,0.08986589243743952,0.26289655199522255
chroma_10_std,Chroma,0.6233802437782288,30.0,27.188684463500977,0.08902589855047267,0.2073828287017835,0.4283086430553643
mfcc_20_std,MFCC,0.613884449005127,42.0,7.508015155792236,0.0876697893850577,0.2903359601824969,0.11827522540612118
mfcc_11_std,MFCC,0.6071305274963379,47.0,7.980298042297363,0.08670525138909065,0.3248997649661275,0.1257151897239547
chroma_4_mean,Chroma,0.5818569660186768,35.0,17.64301109313965,0.08309589491272493,0.2419466334854141,0.2779337908333776
chroma_9_std,Chroma,0.5326411128044128,21.0,17.147764205932617,0.0760673026545353,0.14516798009124846,0.2701320701388073
cqcc_11_std,CQCC,0.5056061744689941,17.0,7.179678440093994,0.07220640121983486,0.11751693626434398,0.11310287315955496
chroma_8_std,Chroma,0.5029098391532898,16.0,32.32170867919922,0.07182133339538943,0.11060417530761786,0.5091701735037172
chroma_7_std,Chroma,0.4964839518070221,38.0,28.210241317749023,0.07090364246646562,0.26268491635559243,0.44440142719261305
